nazwa_pliku,waga_kb,szerokosc,wysokosc,proporcje,jasnosc,kolor_R,kolor_G,kolor_B
968f8faa4b.jpg,220.38,1254,2048,0.61,85.76,55,54,55
9710c1ccdd.jpg,53.06,1039,1200,0.87,47.74,42,35,32
97364df62a.jpg,76.31,1080,1078,1.0,127.75,77,68,71
97b4b10074.jpg,53.65,1080,759,1.42,144.12,201,195,178
97d0184d94.jpg,1260.21,973,929,1.05,77.9,209,152,108
97fc9e3705.jpg,435.79,1080,1065,1.01,134.98,28,26,32
980be43ef9.jpg,40.58,1080,1047,1.03,32.7,15,15,15
984907489b.jpg,541.43,1080,1175,0.92,89.32,129,67,45
984e9c00a7.jpg,33.99,640,427,1.5,150.24,209,207,198
9867512884.jpg,256.36,1080,1209,0.89,236.01,61,62,64
989118dbb2.jpg,206.89,1035,975,1.06,139.85,95,83,89
98bc20c2c9.jpg,36.9,1080,1080,1.0,119.27,126,103,94
9931093ecf.jpg,59.92,1080,1051,1.03,162.36,179,164,148
994e931c2b.jpg,294.18,1080,1116,0.97,152.58,214,192,163
999075bf86.jpg,301.49,1080,693,1.56,88.61,39,34,35
9a5dd34274.jpg,65.47,952,960,0.99,115.2,217,195,193
9a5ecabdc3.jpg,67.91,960,845,1.14,125.25,72,75,91
9ab87681a5.jpg,16.14,535,610,0.88,36.33,33,33,67
